2 9 161 161 1
80 400000 3010361.7183384886 270.2653395739917 1.4156085890812561e-05 0.018569468039647628 218.03645295101171 35548.817090251512 25.492915676486565 0.50296917858450474 0.0012194045475445395
83.5 400000 3134613.1234239237 272.00879446930566 1.4297627254375858e-05 0.018947867983613548 217.74114443274604 35453.651448467492 26.596921627003386 0.49336589698128985 0.001210588376846657
87 400000 3258548.8507089666 273.71940843649958 1.4439491976384294e-05 0.019328125755097 217.47404756548798 35368.404644127477 27.703162343870055 0.48419777756015631 0.0012023757843554054
90.5 400000 3382203.3494899841 275.3986519838362 1.4581716082828611e-05 0.019710074839425766 217.23457404185135 35292.923708610186 28.811713532447403 0.47543523689170036 0.0011947163436632339
94 400000 3505610.5299810488 277.04789674707979 1.4724333879088629e-05 0.020093540740011427 217.02216489550551 35227.054239158169 29.92264960979006 0.4670513373538186 0.001187565329071604
97.5 400000 3628803.7640304621 278.66842444257554 1.4867378098822801e-05 0.020478342056869006 216.83629544195432 35170.643323202785 31.036049976977765 0.45902159455059627 0.0011808831211223495
101 400000 3751815.893000891 280.26143502033187 1.5010880049132975e-05 0.020864291741570729 216.67647254173352 35123.540892566998 32.151999930386843 0.45132372666836895 0.001174634478131294
104.5 400000 3874679.2392275669 281.82805393952532 1.5154869742057172e-05 0.021251198394243491 216.54223059205927 35085.600576987054 33.270589871204777 0.44393741167775047 0.001168787865353877
108 400000 3997425.6208075546 283.36933865913522 1.5299376012765243e-05 0.021638867514150128 216.43313006201822 35056.680853275488 34.391915272713582 0.43684408449572543 0.0011633149245569398
111.5 400000 4120086.3715387969 284.88628450007707 1.544442662913085e-05 0.0220271026628968 216.34875988336574 35036.646865339768 35.516078512978531 0.43002678003859796 0.0011581900914515045
115 400000 4242692.3684114981 286.37983002542285 1.5590048397409725e-05 0.022415706535805092 216.28874312088425 35025.372886406469 36.643192548089225 0.42347001238405046 0.0011533903273698177
118.5 400000 4365274.0684021134 287.85086203765178 1.5736267266625599e-05 0.022804481958460354 216.2527442411897 35022.745102242756 37.773385651597899 0.4171596739670273 0.0011488949173735234
122 400000 4487861.554896269 289.30022023487913 1.5883108431472944e-05 0.023193232833297724 216.24047592496206 35028.664247784138 38.906806100472636 0.41108293919706396 0.0011446852902333149
125.5 400000 4610484.5923813516 290.7287015202225 1.6030596431249476e-05 0.023581765059095386 216.25170356177804 35043.04762277635 40.043625686302796 0.40522816122468897 0.0011407448280604641
129 400000 4733172.6865411801 292.13706392902532 1.6178755240963789e-05 0.023969887438576525 216.2862461267722 35065.83011337294 41.184041174832892 0.3995847563842852 0.0011370586486016759
132.5 400000 4855955.1458582422 293.52603012945048 1.6327608350514141e-05 0.024357412579420461 216.34397286637159 35096.964013333469 42.328273220423711 0.39414307637742224 0.0011336133573370698
136 400000 4978861.1404364165 294.89629046008224 1.6477178828548766e-05 0.024744157784256999 216.42479594866953 35136.417626860231 43.476562666647027 0.38889427250441783 0.0011303967773671373
139.5 400000 5101919.7540054005 296.24850548816391 1.6627489368907439e-05 0.025129945917124377 216.52865983902632 35184.172807867093 44.629164550984015 0.38383015876103221 0.0011273976718017371
